date,ticker,fileName,posKeywordRelevance,negKeywordRelevance,posSentimentStrength,negSentimentStrength,numberPositive,numberNegative,numberNeutral,stockDay1,stockDay5,stockDay15,indexDay1,indexDay5,indexDay15,stock5DayReturn,stock15DayReturn,index5DayReturn,index15DayReturn,5DayExcess,15DayExcess,Buy5Days,Buy15Days
1/14/2015,WFC,2015-01-14-Morning WFC.txt,0.66689419,0.164176399,0.006468592,-0.003225022,47,15,14,50.485,51.765,52.865,23.329,23.499,23.689,2.54%,4.71%,0.73%,1.54%,1.81%,3.17%,1,1
1/15/2015,BAC,2015-01-15-Morning BAC.txt,0.472844044,0.38089724,0.009660215,-0.015659242,47,38,15,15.11,15.99,16.25,23.059,23.919,24.079,5.82%,7.54%,3.73%,4.42%,2.09%,3.12%,1,1
1/15/2015,BLK,2015-01-15-Morning BLK.txt,0.697104058,0.077130912,0.0095445,-0.090040637,69,8,23,342.31,359.09,360.07,23.059,23.919,24.079,4.90%,5.19%,3.73%,4.42%,1.17%,0.76%,1,1
1/15/2015,C,2015-01-15-Morning C.txt,0.430356653,0.401472721,0.011694685,-0.009302895,43,39,18,46.64,49.43,49.35,23.059,23.919,24.079,5.98%,5.81%,3.73%,4.42%,2.25%,1.39%,1,1
1/15/2015,JPM,2015-01-15-Morning JPM.txt,0.479106123,0.273133439,0.013739713,-0.016266078,47,28,25,54.26,57.32,57.35,23.059,23.919,24.079,5.64%,5.69%,3.73%,4.42%,1.91%,1.27%,1,1
1/16/2015,GS,2015-01-16-Morning GS.txt,0.508205907,0.285805313,0.014852225,-0.003804158,51,29,20,176.32,177.47,180.44,23.469,23.634,23.939,0.65%,2.34%,0.70%,2.00%,-0.05%,0.33%,0,1
1/16/2015,PNC,2015-01-16-Morning PNC.txt,0.388471284,0.328963181,0.013830378,-0.008443019,41,35,24,84.22,85.49,88.99,23.469,23.634,23.939,1.51%,5.66%,0.70%,2.00%,0.80%,3.66%,1,1
1/20/2015,MS,2015-01-20-Morning MS.txt,0.553291624,0.335621146,0.009975074,-0.014752965,53,35,12,34.44,34.4,35.8,23.289,23.469,24.109,-0.12%,3.95%,0.77%,3.52%,-0.89%,0.43%,0,1
1/22/2015,COF,2015-01-22-Afternoon COF.txt,0.512716308,0.261705874,0.008081795,-0.013658932,51,28,21,75.93,73.5,77.63,23.919,23.079,24.159,-3.20%,2.24%,-3.51%,1.00%,0.31%,1.24%,1,1
1/24/2015,BK,2015-01-24-Morning BK.txt,0.673045808,0.193700018,0.008953599,-0.020106209,66,20,14,36.3,35.77,39.23,23.634,23.029,24.369,-1.46%,8.07%,-2.56%,3.11%,1.10%,4.96%,1,1
1/28/2015,ACE,2015-01-28-Morning ACE.txt,0.535270645,0.211446457,1.79452E-05,-0.018373461,54,22,24,109.59,110.85,113.49,23.079,23.629,24.209,1.15%,3.56%,2.38%,4.90%,-1.23%,-1.34%,0,0
1/30/2015,SPG,2015-01-30-Morning SPG.txt,0.438681043,0.221968166,0.009743104,-0.017693789,45,24,31,196.14,198.85,190.69,22.979,24.079,24.319,1.38%,-2.78%,4.79%,5.83%,-3.41%,-8.61%,0,0
2/5/2015,PRU,2015-02-05-Morning PRU.txt,0.299305465,0.536364023,0.01160038,-0.0295571,6,8,3,75.73,77.85,81.1,24.079,24.159,24.319,2.80%,7.09%,0.33%,1.00%,2.47%,6.09%,1,1
2/12/2015,MET,2015-02-12-Morning MET.txt,0.390449149,0.237302581,0.003900957,-0.009472912,39,25,36,50.005,50.435,51.695,24.369,24.129,24.409,0.86%,3.38%,-0.98%,0.16%,1.84%,3.22%,1,1
2/13/2015,AIG,2015-02-13-Morning AIG.txt,0.537177932,0.287104651,0.003522874,-0.011468057,55,30,15,53.965,55.075,55.735,24.299,24.319,24.159,2.06%,3.28%,0.08%,-0.58%,1.97%,3.86%,1,1
4/14/2015,JPM,2015-04-14-Morning JPM.txt,0.489644466,0.245404459,0.008067195,-0.012286586,50,25,25,63.08,63.33,64.51,24.38,24.32,24.51,0.40%,2.27%,-0.25%,0.53%,0.64%,1.73%,1,1
4/14/2015,WFC,2015-04-14-Morning WFC.txt,0.605434363,0.154997493,0.003395453,-0.017314672,61,16,23,53.995,54.175,55.355,24.38,24.32,24.51,0.33%,2.52%,-0.25%,0.53%,0.58%,1.99%,1,1
4/15/2015,BAC,2015-04-15-Morning BAC.txt,0.551445408,0.275356727,0.006225586,-0.011609721,55,28,17,15.64,15.55,16.36,24.41,24.13,24.46,-0.58%,4.60%,-1.15%,0.20%,0.57%,4.40%,1,1
4/15/2015,PNC,2015-04-15-Morning PNC.txt,0.472837475,0.161490328,0.009083056,-0.023467448,50,17,33,92.05,91.07,93.3,24.41,24.13,24.46,-1.06%,1.36%,-1.15%,0.20%,0.08%,1.15%,1,1
4/16/2015,BLK,2015-04-16-Morning BLK.txt,0.685834101,0.059133835,0.006029908,-0.077719262,69,6,25,369.69,368.5,363.5,24.34,24.24,24.14,-0.32%,-1.67%,-0.41%,-0.82%,0.09%,-0.85%,1,0
4/16/2015,C,2015-04-16-Morning C.txt,0.55569927,0.278603958,0.00623467,-0.015132475,55,29,16,53.46,52.96,52.59,24.34,24.24,24.14,-0.94%,-1.63%,-0.41%,-0.82%,-0.52%,-0.81%,0,0
4/16/2015,GS,2015-04-16-Morning GS.txt,0.565997434,0.163081442,0.008352239,-0.017220829,57,16,27,197.19,197.51,195.61,24.34,24.24,24.14,0.16%,-0.80%,-0.41%,-0.82%,0.57%,0.02%,1,1
4/20/2015,MS,2015-04-20-Morning MS.txt,0.605759849,0.213760118,0.003234069,-0.013077771,59,22,19,36.81,37.29,37.85,24.32,24.31,24.76,1.30%,2.83%,-0.04%,1.81%,1.35%,1.02%,1,1
4/22/2015,ACE,2015-04-22-Morning ACE.txt,0.487373678,0.238136104,0.007043574,-0.001924335,48,24,28,107.58,108.57,107.05,24.24,24.19,24.58,0.92%,-0.49%,-0.21%,1.40%,1.13%,-1.90%,1,0
4/22/2015,BK,2015-04-22-Morning BK.txt,0.731056789,0.139378124,0.002834505,-0.023187265,73,14,13,42.34,42.21,43.09,24.24,24.19,24.58,-0.31%,1.77%,-0.21%,1.40%,-0.10%,0.37%,0,1
4/23/2015,COF,2015-04-23-Afternoon COF.txt,0.440764638,0.159891819,0.019557264,-0.006424479,27,8,19,79.69,79.83,84.12,24.27,24.25,24.71,0.18%,5.56%,-0.08%,1.81%,0.26%,3.75%,1,1
4/24/2015,SPG,2015-04-24-Morning SPG.txt,0.544316146,0.15991873,0.006174512,-0.01457849,56,16,28,188.24,180.26,185.44,24.31,24.26,24.82,-4.24%,-1.49%,-0.21%,2.10%,-4.03%,-3.59%,0,0
5/1/2015,AIG,2015-05-01-Morning AIG.txt,0.487435647,0.258190662,0.004069598,-0.022188468,50,27,23,58,59.44,60.13,24.44,24.54,24.8,2.48%,3.67%,0.41%,1.47%,2.07%,2.20%,1,1
5/7/2015,MET,2015-05-07-Morning MET.txt,0.370083554,0.248211657,0.012350184,-0.012694235,36,27,36,51.93,53.28,52.79,24.54,24.71,24.82,2.60%,1.66%,0.69%,1.14%,1.91%,0.52%,1,1
5/7/2015,PRU,2015-05-07-Morning PRU.txt,0.495412844,0.217173151,0.005142935,-0.009540634,48,22,29,84.89,85.99,85.17,24.54,24.71,24.82,1.30%,0.33%,0.69%,1.14%,0.60%,-0.81%,1,0
